图像,选择提示词,选择分数,A1s基础分数,前景面积比例,恢复细结构像素,共识启用,共识接受,共识回退IoU,共识删除像素比例,共识补回像素比例,记忆后端,记忆种子帧,记忆候选采用,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU
0000.jpg,A1s,1.121478117062909,1.1688098016889006,0.22478913483796295,0,1,1,0.8873,0.00497,0.02294,sam3_video,0008,0,0,disabled,0,module_off,,,
0001.jpg,A1s,1.1215354752373723,1.1459752393818037,0.22650065104166667,0,1,1,0.9137,0.00222,0.01896,sam3_video,0008,0,0,disabled,0,module_off,,,
0002.jpg,A1s,1.147308060346909,1.1700312231906143,0.22538532021604937,0,1,1,0.914,0.00281,0.01813,sam3_video,0008,0,0,disabled,0,module_off,,,
0003.jpg,A1s,1.1386052975456278,1.1625829857818366,0.2259230324074074,0,1,1,0.9118,0.00458,0.01682,sam3_video,0008,0,0,disabled,0,module_off,,,
0004.jpg,A6共识,1.1062359820516636,1.1140450062382365,0.23183195891203703,0,1,1,0.9078,0.0066,0.01539,sam3_video,0008,0,0,disabled,0,module_off,,,
0005.jpg,A6共识,1.1218495165580686,1.124156945713646,0.224116512345679,0,1,1,0.8976,0.00918,0.01471,sam3_video,0008,0,0,disabled,0,module_off,,,
0006.jpg,A6共识,1.1079096556738552,1.1428743628254205,0.22601707175925925,0,1,0,0.6597,0.05154,0.04291,sam3_video,0008,0,0,disabled,0,module_off,,,
0007.jpg,A6共识,1.1708207904954437,1.2298844903400554,0.2592579330632716,0,1,1,0.7888,0.0516,0.01405,sam3_video,0008,0,0,disabled,0,module_off,,,
0008.jpg,A6共识,1.130226867137804,1.2453942811315684,0.2559320746527778,0,1,1,0.7599,0.06411,0.01274,sam3_video,0008,0,0,disabled,0,module_off,,,
0009.jpg,A6共识,1.1071632048589706,1.1434614882301686,0.22766963252314815,0,1,0,0.7237,0.03558,0.03716,sam3_video,0008,0,0,disabled,0,module_off,,,
